 ENTRY         LNKCPI            LNKEX           USCPI
 1969:01  12.660120000000 11.360000000000 27.208500000000
 1969:02  12.632320000000 11.150000000000 27.310500000000
 1969:03  12.660120000000 11.050000000000 27.540000000000
 1969:04  12.826920000000 11.500000000000 27.718500000000
 1969:05  12.849160000000 11.000000000000 27.795000000000
 1969:06  12.915880000000 10.850000000000 27.973500000000
 1969:07  12.821360000000 10.800000000000 28.101000000000
 1969:08  12.927000000000 10.900000000000 28.228500000000
 1969:09  13.004840000000 11.700000000000 28.356000000000
 1969:10  13.205000000000 11.800000000000 28.458000000000
 1969:11  13.332880000000 11.900000000000 28.611000000000
 1969:12  13.332880000000 12.000000000000 28.789500000000
 1970:01  13.610880000000 11.850000000000 28.891500000000
 1970:02  13.594200000000 12.300000000000 29.044500000000
 1970:03  13.610880000000 12.150000000000 29.197500000000
 1970:04  13.699840000000 12.200000000000 29.376000000000
 1970:05  13.733200000000 12.600000000000 29.503500000000
 1970:06  13.733200000000 12.150000000000 29.656500000000
 1970:07  13.599760000000 13.250000000000 29.758500000000
 1970:08  13.622000000000 13.000000000000 29.809500000000
 1970:09  13.738760000000 14.000000000000 29.962500000000
 1970:10  13.738760000000 15.500000000000 30.115500000000
 1970:11  13.799920000000 15.500000000000 30.217500000000
 1970:12  13.799920000000 15.200000000000 30.370500000000
 1971:01  13.811040000000 17.250000000000 30.396000000000
 1971:02  13.722080000000 17.200000000000 30.447000000000
 1971:03  13.799920000000 17.250000000000 30.549000000000
 1971:04  13.861080000000 19.000000000000 30.651000000000
 1971:05  13.888880000000 18.000000000000 30.804000000000
 1971:06  13.977840000000 17.000000000000 30.982500000000
 1971:07  13.961160000000 16.000000000000 31.059000000000
 1971:08  13.977840000000 15.000000000000 31.135500000000
 1971:09  14.116840000000 15.850000000000 31.161000000000
 1971:10  14.305880000000 15.500000000000 31.212000000000
 1971:11  14.622800000000 16.500000000000 31.263000000000
 1971:12  14.622800000000 18.500000000000 31.390500000000
 1972:01  14.683960000000 16.500000000000 31.416000000000
 1972:02  14.661720000000 16.000000000000 31.569000000000
 1972:03  14.661720000000 15.900000000000 31.620000000000
 1972:04  14.772920000000 15.900000000000 31.696500000000
 1972:05  14.867440000000 15.850000000000 31.798500000000
 1972:06  15.017560000000 16.400000000000 31.875000000000
 1972:07  15.045360000000 15.500000000000 32.002500000000
 1972:08  15.067600000000 15.000000000000 32.053500000000
 1972:09  15.106520000000 15.100000000000 32.181000000000
 1972:10  15.106520000000 14.000000000000 32.283000000000
 1972:11  15.167680000000 14.100000000000 32.359500000000
 1972:12  15.206600000000 14.400000000000 32.461500000000
 1973:01  15.551320000000 14.200000000000 32.563500000000
 1973:02  15.640280000000 13.000000000000 32.793000000000
 1973:03  15.684760000000 12.800000000000 33.099000000000
 1973:04  15.773720000000 12.850000000000 33.328500000000
 1973:05  15.862680000000 11.900000000000 33.532500000000
 1973:06  16.318600000000 11.000000000000 33.762000000000
 1973:07  16.407560000000 10.650000000000 33.838500000000
 1973:08  16.691120000000 10.950000000000 34.450500000000
 1973:09  16.780080000000 10.850000000000 34.552500000000
 1973:10  17.224880000000 11.200000000000 34.833000000000
 1973:11  17.308280000000 11.300000000000 35.088000000000
 1973:12  17.397240000000 11.250000000000 35.317500000000
 1974:01  17.514000000000 10.750000000000 35.623500000000
 1974:02  17.691920000000 10.650000000000 36.082500000000
 1974:03  17.780880000000 10.600000000000 36.490500000000
 1974:04  18.008840000000 10.650000000000 36.694500000000
 1974:05  18.097800000000 10.600000000000 37.102500000000
 1974:06  18.197880000000 10.550000000000 37.459500000000
